PAT_ABS,pacients,percentatge,percentatge_acumulat
112,11,0.0,99.93
232,10,0.0,99.93
81,10,0.0,99.93
266,10,0.0,99.93
375,10,0.0,99.93
200,10,0.0,99.93
12,10,0.0,99.93
367,10,0.0,99.93
87,9,0.0,99.93
352,9,0.0,99.93
228,8,0.0,99.93
88,8,0.0,99.93
107,7,0.0,99.93
1,7,0.0,99.93
181,6,0.0,99.93
176,6,0.0,99.93
180,6,0.0,99.93
324,6,0.0,99.93
354,5,0.0,99.93
96,5,0.0,99.93
333,4,0.0,99.93
334,3,0.0,99.93
129,3,0.0,99.93
